mapID,mapSize,chunkCount,numberOfWorkers,startTime,endTime,totalDuration
18334e4b-bb83-4ab5-b135-8c7ded9a2ea8,32,4,4,2025-05-26 16:13:22.373000,2025-05-26 16:13:22.885000,512.0
02be2f60-33b2-4ab6-8eab-60531b7e30f1,32,4,1,2025-05-26 15:13:12.037000,2025-05-26 15:13:13.145000,1108.0
1fbc6cec-5095-453c-a232-5b2adb767272,32,16,16,2025-05-27 12:13:13.543000,2025-05-27 12:13:15.557000,2013.0
d66fe23f-3a2b-4daf-b7bf-ae8a8b8677e0,64,4,4,2025-05-26 16:14:13.470000,2025-05-26 16:14:15.677000,2207.0
d9704d3b-2f8a-469b-a08b-c7563b6a35d7,64,16,16,2025-05-27 12:13:54.499000,2025-05-27 12:13:56.880000,2381.0
0bc8475c-f5ac-41be-ab78-626d2cda382d,32,1,1,2025-05-26 15:12:56.677000,2025-05-26 15:12:59.432000,2755.0
554b75d2-7c9a-4e8a-b580-52d9a2227830,64,16,8,2025-05-26 17:55:33.887000,2025-05-26 17:55:36.968000,3081.0
52a05ab7-b21d-4648-91c8-b0796a76e6a4,32,16,8,2025-05-26 17:55:03.120000,2025-05-26 17:55:06.206000,3086.0
10a8f1c0-38ec-455c-99b8-f02a36bb5da8,32,16,4,2025-05-26 16:13:37.712000,2025-05-26 16:13:40.981000,3269.0
34824b2a-b215-434d-be02-7413517c5411,64,16,4,2025-05-26 16:14:28.838000,2025-05-26 16:14:32.278000,3440.0
f04e96e8-9d96-4926-803d-619f28c753d3,64,16,2,2025-05-20 13:53:55.922000,2025-05-20 13:53:59.833000,3911.0
840cfbbb-dc62-4e89-9722-b1f99541d8e8,128,16,8,2025-05-26 17:56:55.597000,2025-05-26 17:57:00.814000,5217.0
c5a5096a-f508-45a9-b11c-9f409be266d4,32,16,2,2025-05-26 15:45:34.036000,2025-05-26 15:45:39.294000,5258.0
5223c48d-c6c0-46c8-8afa-8ad58b91c950,64,16,2,2025-05-26 15:46:30.257000,2025-05-26 15:46:35.642000,5385.0
d66f4be0-cc5b-4ae8-b38d-5e260dc1fed9,64,16,2,2025-05-20 13:22:12.231000,2025-05-20 13:22:18.289000,6058.0
60dc0545-e423-4312-afaf-9f20e65236fb,32,64,64,2025-05-27 14:12:00.969000,2025-05-27 14:12:08.657000,7688.0
60dc0545-e423-4312-afaf-9f20e65236fb,32,64,64,2025-05-27 14:12:00.969000,2025-05-27 14:12:08.657000,7688.0
f7927edc-8227-4ab4-935f-f11c518d7149,64,4,2,2025-05-26 15:46:09.801000,2025-05-26 15:46:17.665000,7864.0
a4d4967d-b87b-4441-8b0e-792b4c09ab8a,64,64,64,2025-05-27 14:12:21.600000,2025-05-27 14:12:29.638000,8038.0
a4d4967d-b87b-4441-8b0e-792b4c09ab8a,64,64,64,2025-05-27 14:12:21.600000,2025-05-27 14:12:29.638000,8038.0
2faa1dc7-8179-4548-809d-a33e67ac68da,32,16,1,2025-05-26 15:13:27.383000,2025-05-26 15:13:36.642000,9259.0
6fb83a62-a8e6-4aef-b832-ca821675e35d,64,4,1,2025-05-26 15:15:18.846000,2025-05-26 15:15:28.937000,10091.0
11488355-92f0-4cd9-a2e1-830f2dfe98eb,128,16,4,2025-05-26 16:16:56.124000,2025-05-26 16:17:06.727000,10603.0
